"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01013","Butler County, AL","4,203","0","433","102","10.3","2.4","3,770","102","89.7","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01013","Butler County, AL","4,332","0","551","112","12.7","2.6","3,781","112","87.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01013","Butler County, AL","4,336","0","620","114","14.3","2.6","3,716","114","85.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01013","Butler County, AL","4,361","0","629","120","14.4","2.8","3,731","120","85.6","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01013","Butler County, AL","4,420","0","581","120","13.1","2.7","3,839","120","86.9","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01013","Butler County, AL","4,378","0","621","129","14.2","2.9","3,757","129","85.8","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01015","Calhoun County, AL","23,495","0","2,397","493","10.2","2.1","21,098","493","89.8","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01015","Calhoun County, AL","23,862","0","2,539","480","10.6","2.0","21,323","480","89.4","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01015","Calhoun County, AL","23,906","0","2,801","482","11.7","2.0","21,105","482","88.3","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01015","Calhoun County, AL","24,059","0","3,276","524","13.6","2.2","20,783","524","86.4","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01015","Calhoun County, AL","24,065","0","2,825","480","11.7","2.0","21,240","480","88.3","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01015","Calhoun County, AL","24,217","0","2,991","528","12.4","2.2","21,226","528","87.6","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01015","Calhoun County, AL","23,766","0","2,897","526","12.2","2.2","20,868","526","87.8","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01017","Chambers County, AL","7,230","0","652","162","9.0","2.2","6,578","162","91.0","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01017","Chambers County, AL","7,350","0","801","181","10.9","2.5","6,549","181","89.1","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01017","Chambers County, AL","7,370","0","901","179","12.2","2.4","6,469","179","87.8","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01017","Chambers County, AL","7,450","0","1,163","204","15.6","2.7","6,287","204","84.4","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01017","Chambers County, AL","7,363","0","1,001","189","13.6","2.6","6,362","189","86.4","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01017","Chambers County, AL","7,448","0","1,084","212","14.6","2.8","6,363","212","85.4","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01017","Chambers County, AL","7,425","0","1,130","222","15.2","3.0","6,295","222","84.8","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01019","Cherokee County, AL","5,863","0","593","145","10.1","2.5","5,270","145","89.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01019","Cherokee County, AL","5,874","0","604","140","10.3","2.4","5,270","140","89.7","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01019","Cherokee County, AL","5,858","0","731","147","12.5","2.5","5,127","147","87.5","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01019","Cherokee County, AL","5,963","0","861","153","14.4","2.6","5,102","153","85.6","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01019","Cherokee County, AL","6,029","0","850","156","14.1","2.6","5,179","156","85.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01019","Cherokee County, AL","6,103","0","812","156","13.3","2.6","5,291","156","86.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01019","Cherokee County, AL","6,024","0","934","180","15.5","3.0","5,090","180","84.5","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01021","Chilton County, AL","8,852","0","1,023","222","11.6","2.5","7,829","222","88.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01021","Chilton County, AL","8,818","0","1,026","207","11.6","2.3","7,792","207","88.4","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01021","Chilton County, AL","8,773","0","1,199","226","13.7","2.6","7,574","226","86.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01021","Chilton County, AL","8,752","0","1,432","232","16.4","2.7","7,320","232","83.6","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01021","Chilton County, AL","8,670","0","1,279","220","14.7","2.5","7,391","220","85.3","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01021","Chilton County, AL","8,703","0","1,329","235","15.3","2.7","7,374","235","84.7","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01021","Chilton County, AL","8,506","0","1,274","246","15.0","2.9","7,232","246","85.0","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01023","Choctaw County, AL","2,930","0","319","74","10.9","2.5","2,611","74","89.1","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01023","Choctaw County, AL","2,968","0","310","65","10.4","2.2","2,658","65","89.6","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01023","Choctaw County, AL","3,011","0","350","71","11.6","2.4","2,661","71","88.4","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01023","Choctaw County, AL","3,040","0","446","80","14.7","2.6","2,594","80","85.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01023","Choctaw County, AL","3,034","0","407","77","13.4","2.5","2,628","77","86.6","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01023","Choctaw County, AL","3,046","0","418","82","13.7","2.7","2,629","82","86.3","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01023","Choctaw County, AL","3,047","0","434","86","14.2","2.8","2,613","86","85.8","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01025","Clarke County, AL","5,125","0","512","125","10.0","2.4","4,613","125","90.0","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01025","Clarke County, AL","5,189","0","564","126","10.9","2.4","4,625","126","89.1","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01025","Clarke County, AL","5,233","0","685","131","13.1","2.5","4,548","131","86.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01025","Clarke County, AL","5,240","0","709","130","13.5","2.5","4,531","130","86.5","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01025","Clarke County, AL","5,160","0","720","135","14.0","2.6","4,440","135","86.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01025","Clarke County, AL","5,274","0","824","147","15.6","2.8","4,450","147","84.4","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01025","Clarke County, AL","5,179","0","671","141","13.0","2.7","4,508","141","87.0","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01027","Clay County, AL","2,867","0","314","77","11.0","2.7","2,553","77","89.0","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01027","Clay County, AL","2,908","0","326","74","11.2","2.5","2,582","74","88.8","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01027","Clay County, AL","2,922","0","434","84","14.9","2.9","2,488","84","85.1","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01027","Clay County, AL","2,869","0","438","81","15.3","2.8","2,431","81","84.7","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01027","Clay County, AL","2,838","0","390","75","13.7","2.6","2,448","75","86.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01027","Clay County, AL","2,879","0","409","80","14.2","2.8","2,470","80","85.8","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01027","Clay County, AL","2,852","0","390","82","13.7","2.9","2,462","82","86.3","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01029","Cleburne County, AL","3,081","0","361","84","11.7","2.7","2,720","84","88.3","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01029","Cleburne County, AL","3,046","0","308","73","10.1","2.4","2,738","73","89.9","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01029","Cleburne County, AL","3,040","0","396","79","13.0","2.6","2,644","79","87.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01029","Cleburne County, AL","3,081","0","454","85","14.7","2.8","2,627","85","85.3","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01029","Cleburne County, AL","3,081","0","408","81","13.2","2.6","2,673","81","86.8","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01029","Cleburne County, AL","3,150","0","423","86","13.4","2.7","2,727","86","86.6","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01029","Cleburne County, AL","3,116","0","422","89","13.5","2.9","2,695","89","86.5","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01031","Coffee County, AL","9,712","0","1,000","207","10.3","2.1","8,712","207","89.7","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01031","Coffee County, AL","9,774","0","1,049","201","10.7","2.1","8,725","201","89.3","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01031","Coffee County, AL","9,709","0","1,110","196","11.4","2.0","8,599","196","88.6","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01031","Coffee County, AL","9,633","0","1,308","203","13.6","2.1","8,325","203","86.4","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01031","Coffee County, AL","9,683","0","1,271","207","13.1","2.1","8,411","207","86.9","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01031","Coffee County, AL","9,561","0","1,199","202","12.5","2.1","8,362","202","87.5","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01031","Coffee County, AL","9,389","0","1,298","228","13.8","2.4","8,091","228","86.2","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01033","Colbert County, AL","11,424","0","873","198","7.6","1.7","10,551","198","92.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01033","Colbert County, AL","11,514","0","1,066","219","9.3","1.9","10,448","219","90.7","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01033","Colbert County, AL","11,586","0","1,246","236","10.8","2.0","10,340","236","89.2","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01033","Colbert County, AL","11,554","0","1,512","256","13.1","2.2","10,042","256","86.9","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01033","Colbert County, AL","11,587","0","1,422","253","12.3","2.2","10,165","253","87.7","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01033","Colbert County, AL","11,633","0","1,262","242","10.8","2.1","10,372","242","89.2","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01033","Colbert County, AL","11,451","0","1,270","246","11.1","2.1","10,181","246","88.9","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01035","Conecuh County, AL","2,710","0","319","80","11.8","3.0","2,391","80","88.2","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01035","Conecuh County, AL","2,805","0","366","84","13.0","3.0","2,439","84","87.0","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01035","Conecuh County, AL","2,857","0","391","81","13.7","2.8","2,466","81","86.3","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01035","Conecuh County, AL","2,907","0","458","86","15.8","3.0","2,449","86","84.2","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01035","Conecuh County, AL","2,929","0","440","86","15.0","2.9","2,489","86","85.0","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01035","Conecuh County, AL","3,031","0","470","95","15.5","3.1","2,561","95","84.5","3.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01035","Conecuh County, AL","3,005","0","452","94","15.1","3.1","2,553","94","84.9","3.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01037","Coosa County, AL","2,717","0","315","81","11.6","3.0","2,402","81","88.4","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01037","Coosa County, AL","2,763","0","306","72","11.1","2.6","2,457","72","88.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01037","Coosa County, AL","2,753","0","320","68","11.6","2.5","2,433","68","88.4","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01037","Coosa County, AL","2,787","0","394","72","14.1","2.6","2,393","72","85.9","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01037","Coosa County, AL","2,785","0","369","72","13.3","2.6","2,416","72","86.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01037","Coosa County, AL","2,798","0","336","72","12.0","2.6","2,462","72","88.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01037","Coosa County, AL","2,818","0","358","81","12.7","2.9","2,460","81","87.3","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01039","Covington County, AL","7,982","0","884","197","11.1","2.5","7,098","197","88.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01039","Covington County, AL","8,085","0","823","171","10.2","2.1","7,262","171","89.8","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01039","Covington County, AL","8,098","0","1,052","192","13.0","2.4","7,046","192","87.0","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01039","Covington County, AL","8,102","0","1,155","199","14.3","2.5","6,947","199","85.7","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01039","Covington County, AL","8,076","0","1,154","206","14.3","2.6","6,922","206","85.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01039","Covington County, AL","8,178","0","1,218","212","14.9","2.6","6,960","212","85.1","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01039","Covington County, AL","8,009","0","1,014","214","12.7","2.7","6,995","214","87.3","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01041","Crenshaw County, AL","2,902","0","281","71","9.7","2.4","2,621","71","90.3","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01041","Crenshaw County, AL","2,957","0","299","66","10.1","2.2","2,658","66","89.9","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01041","Crenshaw County, AL","2,986","0","380","78","12.7","2.6","2,606","78","87.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01041","Crenshaw County, AL","2,989","0","442","79","14.8","2.6","2,547","79","85.2","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01041","Crenshaw County, AL","2,977","0","421","77","14.2","2.6","2,555","77","85.8","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01041","Crenshaw County, AL","2,988","0","456","85","15.3","2.8","2,532","85","84.7","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01041","Crenshaw County, AL","2,928","0","403","85","13.8","2.9","2,525","85","86.2","2.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01043","Cullman County, AL","16,796","0","1,963","396","11.7","2.4","14,833","396","88.3","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01043","Cullman County, AL","16,708","0","1,794","338","10.7","2.0","14,914","338","89.3","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01043","Cullman County, AL","16,570","0","2,374","405","14.3","2.4","14,196","405","85.7","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01043","Cullman County, AL","16,578","0","2,400","371","14.5","2.2","14,178","371","85.5","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01043","Cullman County, AL","16,408","0","2,308","380","14.1","2.3","14,100","380","85.9","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01043","Cullman County, AL","16,542","0","2,466","403","14.9","2.4","14,075","403","85.1","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01043","Cullman County, AL","16,197","0","2,390","414","14.8","2.6","13,807","414","85.2","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01045","Dale County, AL","9,534","0","872","207","9.1","2.2","8,662","207","90.9","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01045","Dale County, AL","9,572","0","962","209","10.1","2.2","8,610","209","89.9","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01045","Dale County, AL","9,494","0","1,016","196","10.7","2.1","8,478","196","89.3","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01045","Dale County, AL","9,536","0","1,267","221","13.3","2.3","8,269","221","86.7","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01045","Dale County, AL","9,610","0","1,217","217","12.7","2.3","8,393","217","87.3","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01045","Dale County, AL","9,624","0","1,222","229","12.7","2.4","8,402","229","87.3","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01045","Dale County, AL","9,465","0","1,069","215","11.3","2.3","8,396","215","88.7","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01047","Dallas County, AL","8,360","0","803","189","9.6","2.3","7,557","189","90.4","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01047","Dallas County, AL","8,686","0","851","182","9.8","2.1","7,835","182","90.2","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01047","Dallas County, AL","8,844","0","1,084","210","12.3","2.4","7,760","210","87.7","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01047","Dallas County, AL","8,905","0","1,098","200","12.3","2.2","7,807","200","87.7","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","01047","Dallas County, AL","8,940","0","1,064","206","11.9","2.3","7,876","206","88.1","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","01047","Dallas County, AL","9,081","0","1,256","238","13.8","2.6","7,825","238","86.2","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","01047","Dallas County, AL","8,912","0","1,091","231","12.2","2.6","7,822","231","87.8","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","01049","DeKalb County, AL","13,817","0","1,948","386","14.1","2.8","11,869","386","85.9","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","01049","DeKalb County, AL","13,861","0","2,079","389","15.0","2.8","11,782","389","85.0","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","01049","DeKalb County, AL","13,836","0","2,585","413","18.7","3.0","11,251","413","81.3","3.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","01049","DeKalb County, AL","13,911","0","2,473","380","17.8","2.7","11,438","380","82.2","2.7"
